Club,Games Won,Games Drawn,Games Lost,Goals Scored,Goals Conceded
Arsenal FC,9,0,1,24,10
Tottenham Hotspur FC,7,2,2,22,12
Manchester City FC,7,2,1,33,10
Chelsea FC,6,2,2,15,10
Manchester United FC,6,1,3,15,15
Fulham FC,4,3,4,19,20
Liverpool FC,4,4,2,22,12
Newcastle United FC,4,6,1,18,9
Brighton & Hove Albion FC,4,3,3,14,11
Crystal Palace FC,3,4,3,12,13
Southampton FC,3,2,6,10,18
AFC Bournemouth,3,4,4,10,23
Brentford FC,3,5,3,18,17
West Ham United FC,3,2,6,9,12
Leeds United FC,2,3,5,11,15
Wolverhampton Wanderers FC,2,3,6,5,14
Aston Villa FC,2,3,6,7,16
Everton FC,2,4,5,8,12
Leicester City FC,2,2,7,17,24
Nottingham Forest FC,1,3,7,7,23
