Club,Games Won,Games Drawn,Games Lost,Goals Scored,Goals Conceded
Manchester City FC,29,6,3,99,26
Liverpool FC,28,8,2,94,26
Arsenal FC,22,3,13,61,48
Tottenham Hotspur FC,22,5,11,69,40
Chelsea FC,21,11,6,76,33
Manchester United FC,16,10,12,57,57
West Ham United FC,16,8,14,60,51
Wolverhampton Wanderers FC,15,6,17,38,43
Leicester City FC,14,10,14,62,59
Brentford FC,13,7,18,48,56
Aston Villa FC,13,6,19,52,54
Newcastle United FC,13,10,15,44,62
Brighton & Hove Albion FC,12,15,11,42,44
Everton FC,11,6,21,43,66
Crystal Palace FC,11,15,12,50,46
Leeds United FC,9,11,18,42,79
Southampton FC,9,13,16,43,67
Burnley FC,7,14,17,34,53
Watford FC,6,5,27,34,77
Norwich City FC,5,7,26,23,84
